date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:08	115094/115094	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:08%20GMT	https://www.revendamaisverde.com.br/_assets/img/galeria/5.jpeg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/galeria/5.jpg	(from https://www.revendamaisverde.com.br/)
14:21:08	8261/8261	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2017:21:08%20GMT	https://www.revendamaisverde.com.br/_assets/img/footer.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/footer.png	(from https://www.revendamaisverde.com.br/)
14:21:08	98717/98717	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:08%20GMT	https://www.revendamaisverde.com.br/_assets/js/lightbox-plus-jquery.min.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/js/lightbox-plus-jquery.min.js	(from https://www.revendamaisverde.com.br/)
14:21:08	21004/21004	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:08%20GMT	https://www.revendamaisverde.com.br/_assets/js/popper.min.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/js/popper.min.js	(from https://www.revendamaisverde.com.br/)
14:21:09	58072/58072	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:09%20GMT	https://www.revendamaisverde.com.br/_assets/vendors/bootstrap/js/bootstrap.min.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/vendors/bootstrap/js/bootstrap.min.js	(from https://www.revendamaisverde.com.br/)
14:21:09	88955/88955	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:09%20GMT	https://www.revendamaisverde.com.br/_assets/vendors/slick/slick.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/vendors/slick/slick.js	(from https://www.revendamaisverde.com.br/)
14:21:09	6591/6591	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:09%20GMT	https://www.revendamaisverde.com.br/_assets/vendors/videomodal/js/jquery-modal-video.min.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/vendors/videomodal/js/jquery-modal-video.min.js	(from https://www.revendamaisverde.com.br/)
14:21:09	15553/15553	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:09%20GMT	https://www.revendamaisverde.com.br/_assets/js/wow.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/js/wow.js	(from https://www.revendamaisverde.com.br/)
14:21:10	983/983	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:10%20GMT	https://www.revendamaisverde.com.br/_assets/js/popup.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/js/popup.js	(from https://www.revendamaisverde.com.br/)
14:21:10	9512/9512	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202022%2017:21:10%20GMT	https://www.revendamaisverde.com.br/_assets/js/lightbox.min.js	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/js/lightbox.min.js	(from https://www.revendamaisverde.com.br/)
14:21:10	53764/53764	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:10%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/0.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/0.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:11	444782/444782	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:10%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/1.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/1.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:11	496659/496659	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:11%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/2.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/2.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:11	318454/318454	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:11%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/4.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/4.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:11	209367/209367	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:11%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/5.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/5.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
